text,rating,sentiment,clean_text
"Barang sesuai dengan pesanan, pengiriman cepat, packing rapi, bagus dan aman...",5,Positif,sesuai pesanan cepat kemasan rapi bagus aman
"Warna nya &amp; bahannya bagus, responsif, recommended seller",5,Positif,warna nya amp bahannya bagus responsif recommended
Packing joss. Kualitas susah tak perlu di ragukan,5,Positif,kemasan bagus kualitas susah ragukan
tq....................................................,4,Positif,tq
"Terima kasih agan, barang pesanan saya sudah diterima dengan baik.",5,Positif,terima kasih agan pesanan diterima
mamtafffffff.........................................,5,Positif,mamtaff
"Pelayanan ramah,pengiriman cepat, Mantap, barang original, sukses selalu gan",5,Positif,pelayanan ramah cepat bagus asli sukses gan
"Respon Cepat, barang sesuai ekspektasi",5,Positif,respon cepat sesuai ekspektasi
Sepatunya cantik..cepet sampai..recommended pokoknyaaa,5,Positif,sepatunya cantik cepat recommended pokoknyaa
"Jamnya Lebih Berat dri jam QQ yg kamren ilang diMasjid Blok M Square . Yg ini kaga tau dah anti air apa ngga?!. Barang cepet sampe. Respon oke bgt. Jam 2 klik beli, jam 4 sampe. Mantap bgt dah....!!! Thanx ya Gan, thanx BukaLapak. Smoga makin sukses.",5,Positif,jamnya berat dri jam qq kamren ilang dimasjid blok square kaga tau dah anti air ngga cepat sampe respon banget jam klik jam sampe bagus banget dah thanx ya gan thanx smoga sukses
sudah terpasang dan berfungsi dengan baik.,4,Positif,terpasang berfungsi
"Barang sudah sampai packing rapi, dan bahannya tebal y mantap",5,Positif,kemasan rapi bahannya tebal bagus
"Packingnya bgus, Mudah”an tahan lama..",5,Positif,packingnya bgus mudah an tahan
Sangat puas atas respon dan pakingnya the best semonga sukses selalu,5,Positif,puas respon pakingnya the best semonga sukses
Good Quality product received on time,4,Positif,good quality product received on time
Thank you. Good product.,5,Positif,thank you good product
Pngirman cepat dan rapi,4,Positif,pngirman cepat rapi
OBAMA.. Oke BAgus MAntap..,5,Positif,obama bagus bagus
"sesuai gambar dan deskripsi, langsung dipasang dan dicoba berfungsi dengan baik. respon penjual sangat cepat sekali. terima kasih",5,Positif,sesuai gambar deskripsi langsung dipasang dicoba berfungsi respon penjual cepat terima kasih
"barang sampe, semoga jalan",5,Positif,sampe semoga jalan
Baguss sesuai deskripsi,5,Positif,baguss sesuai deskripsi
Bagus berjalan sempurna... gampang setting nya,5,Positif,bagus berjalan sempurna gampang setting nya
Mantapppppppppppppppppppp,5,Positif,mantapp
"Barang sampai hari ini dgn kondisi baik, selamat &amp; sesuai pesanan.",5,Positif,kondisi selamat amp sesuai pesanan
"Sesuai Deskripsi, Original, Dapet Cover Shoes sama Tottebag jugaaa. Mantaps hiyahiyahiya.",5,Positif,sesuai deskripsi asli dapet cover shoes tottebag jugaa mantaps hiyahiyahiya
Sesuai pesanan.. langsung di proses.. tq,4,Positif,sesuai pesanan langsung proses tq
Biarkan bintang bicara,5,Positif,biarkan bintang bicara
Proses cepat......pengiriman kilat......produk mantab.......bonus dahsyat...... Recommended seller.....,5,Positif,proses cepat kilat mantab bonus dahsyat recommended
bagus barang nya sesuai dengan gambar,5,Positif,bagus nya sesuai gambar
"Mantap sesuai pesanan barang Ok, pelayanan super",5,Positif,bagus sesuai pesanan pelayanan super
"tengkyu gan paket sudah diterima dengan baik dan berfungsi, semoga awet :)",5,Positif,tengkyu gan diterima berfungsi semoga awet
Bagus dan sesuai dengan kebutuhan. Semoga awet...,5,Positif,bagus sesuai kebutuhan semoga awet
"Barang bagus sesuai deskripsi, pengiriman cepat, penjual responsif. Toko keren.",5,Positif,bagus sesuai deskripsi cepat penjual responsif keren
"barang sudah diterima,tks.",5,Positif,diterima tks
Brngnya bagus sama seperti di gambar,5,Positif,brngnya bagus gambar
Fast respon dan safety packing.....,4,Positif,fast respon safety kemasan
"Barangnya, packingnya, pengirimannya, pickup dan reponnya, sangat baik. rekomendasi seller nih. makasih ya gan, sukses selalu. saya puas belanja disini. terimakasih.",5,Positif,barangnya packingnya pengirimannya pickup reponnya rekomendasi nih terima kasih ya gan sukses puas terimakasih
Biar bintang yang berbicara...,5,Positif,biar bintang berbicara
barang sampai cpt n selamat gan... yg hx,5,Positif,cepat selamat gan hx
barang sudah masuk...packingan ok...tq,5,Positif,masuk packingan tq
"barang sudah diterima, terimakasih",5,Positif,diterima terimakasih
"Belum dilihat sih, Semoga sesuai dan pas, terimakasih fast respon nya",5,Positif,sih semoga sesuai pas terimakasih fast respon nya
Makasih gan. Barang sudah sampai..,5,Positif,terima kasih gan
"Ukuran dan warna sesuai dengan foto. Produk bekerja dengan baik &amp; kuat Barang bagus, cepat sampai, recommended!",4,Positif,ukuran warna sesuai foto amp kuat bagus cepat recommended
Barang baguss........,5,Positif,baguss
Kualitas ok..namun masih kendala di penggunaanya..masih kaku,5,Positif,kualitas kendala penggunaanya kaku
Sepatu nyaaa enteng banget.. nyaman dipakai,5,Positif,sepatu nyaa enteng banget nyaman dipakai
Barang sdh sampai ternyata kecil ya modelnya,4,Positif,ya modelnya
barang sudah sampai sudah diterima,4,Positif,diterima
works great! great service as well from the seller! thank you!,5,Positif,works great great service as well from the thank you
Barang bagus. Dan sesuai ke inginan.,4,Positif,bagus sesuai inginan
Barang tiba sesuai deskripsi. Semoga sukses,5,Positif,sesuai deskripsi semoga sukses
"bagus, barang masih oke",5,Positif,bagus
Biarkan bintang berbicara,5,Positif,biarkan bintang berbicara
"fast shipping, thanks gan .....",4,Positif,fast shipping terima kasih gan
"Ini pembelian ke3 dengan produk Yang berbeda. Selalu puas! Recommendedlah, keep a good work gan! Thank you yaa..",5,Positif,pembelian berbeda puas recommendedlah keep good work gan thank you yaa
Sesuai pesanan dan dibungkus rapih,5,Positif,sesuai pesanan dibungkus rapih
Barang sesuai pesanan dan respon cepat,5,Positif,sesuai pesanan respon cepat
"Produk bagus, cuma kalau warna pesanan gak ada, konfirmasi ke pembeli biar bisa pilih warna lain, jangan asal kirim....!!!!
Pilih merah dikirim abu2.",5,Positif,bagus warna pesanan konfirmasi pembeli biar pilih warna pilih merah dikirim abu
pengemasan yg rapi skali... saya beri bintang 5 bwt seller ini :),5,Positif,pengemasan rapi skali bintang bwt
"Alhamdulillah barang sdh sampai.. Pelayanan cepat, pengiriman cepat.. Cukup puas",5,Positif,alhamdulillah pelayanan cepat cepat puas
Mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,5,Positif,mantaap
"Produk bagus real banget, fast respon , cuma pengiriman yang lelet",5,Positif,bagus real banget fast respon lelet
Barang sesuai pesanan,5,Positif,sesuai pesanan
Fast Respond. Thanks 🙏,4,Positif,fast respond terima kasih
biar bintang yang berbicara gan...,5,Positif,biar bintang berbicara gan
"Packing rapi, barang sesuai dengan pesanan, kualitas produk bagus, respon dan pelayanan penjual oke",5,Positif,kemasan rapi sesuai pesanan kualitas bagus respon pelayanan penjual
Barang oke pengiriman cepat,5,Positif,cepat
Terimakasih.............,5,Positif,terimakasih
"Respon bagus, kirim cepat...barang sesuai dengan pesanan",5,Positif,respon bagus cepat sesuai pesanan
"Barang oke bos , mantab, recomended",5,Positif,bos mantab rekomendasi
"sangat bagus harga terjangkau, okelah,,, bisa buat langganan",5,Positif,bagus harga terjangkau okelah langganan
"Barang Oke, sesuai orderan, respon cepat",5,Positif,sesuai orderan respon cepat
Respon cepat barang langsung dikirim mantap gan,5,Positif,respon cepat langsung dikirim bagus gan
"Sudah di pasang,hasilnya memuaskan,",5,Positif,pasang hasilnya memuaskan
pemesanan diproses secepat kilat,5,Positif,pemesanan diproses secepat kilat
Mantap... Respon Penjual Cepat.. Langsng dikirim.. barang Bagus.. semoga Aweett..,5,Positif,bagus respon penjual cepat langsng dikirim bagus semoga aweett
Barang sangat Baik dan sesuai deskripsi,5,Positif,sesuai deskripsi
pas sesuai info yg di berikan pas banged,5,Positif,pas sesuai info pas banged
Tq...................,5,Positif,tq
Barang oke sesuai deskripsi dan pengiriman super kilat! Thx gan,5,Positif,sesuai deskripsi super kilat terima kasih gan
"Warna random,tapi hitam semua 🤣",4,Positif,warna random hitam
"Packing rapih
Pengiriman jg cepat",5,Positif,kemasan rapih jg cepat
"Produk sudah digunakan 2 hari, dan sejauh ini baik baik saja. Seller pun merespon dengan baik pertanyaan dan permintaan saya sebagai konsumennya.",5,Positif,merespon permintaan konsumennya
Brg sampe tepat waktu dan sesuai dgn keterangan,5,Positif,sampe sesuai keterangan
Barangnya sudah sampai gan terimakasih,4,Positif,barangnya gan terimakasih
Barang Ok pengriman cepat recomended,4,Positif,pengriman cepat rekomendasi
"barang sdh sampai, respon cpt, tjamks",5,Positif,respon cepat tjamks
Barang bagus sesuai pesanan,5,Positif,bagus sesuai pesanan
"barang sudah sampai, tkhank's....",4,Positif,tkhank
"produk sesuai dengan gambar,pengiriman cepat,recomen seller",5,Positif,sesuai gambar cepat recomen
"Mantap, pengiriman cepat tepat",5,Positif,bagus cepat
Sesuai dengan deskripsi,5,Positif,sesuai deskripsi
produk bagus... matap... tinggal pakai... tnk gans...,5,Positif,bagus matap tinggal pakai tnk gans
"Barang sudah diterima, sesuai dengan foto. Thank you.",5,Positif,diterima sesuai foto thank you
"Bagus produknya, instalasinya gampang, mudah2an awet ya, aamiin",5,Positif,bagus produknya instalasinya gampang mudah an awet ya aamiin
Barang Bagus nyampe nya jga cepat,5,Positif,bagus nyampe nya jga cepat
Respon ok pengiriman cepat barang bagus,5,Positif,respon cepat bagus
pesanan diterima sesuai deskripsi,5,Positif,pesanan diterima sesuai deskripsi
Lumayan bagus............,4,Positif,lumayan bagus
tampilan sederhana namun berkualitas.. ingin jas hujan berkualitas kunjungi &#34; acold store&#34;,5,Positif,tampilan sederhana berkualitas jas hujan berkualitas kunjungi acold store
Biarkan bintang yg berbicara,5,Positif,biarkan bintang berbicara
sudah di trima gan.. trimakasaih. sesuai harapan .,5,Positif,trima gan trimakasaih sesuai harapan
"Puas, gan... cuma sayangnya agak kekecilan, padahal ukuran itu yang biasa saya pake.",4,Positif,puas gan sayangnya kekecilan ukuran pakai
trimakasih brg sdh diterima dgn baik,5,Positif,trimakasih diterima
"Kecepatan toko ini dalam merespon dan memproses pesanan sangat cepat, kualitas sticknya juga bagus, apalagi untuk harganya yang sangat murah. Bravo gan tokonya, sukses terus!",5,Positif,kecepatan merespon memproses pesanan cepat kualitas sticknya bagus harganya murah bravo gan tokonya sukses
Produk Bagus .good seller,4,Positif,bagus good
Lom sempat coba..smoga awet aja d,5,Positif,lom coba smoga awet
Barang sesuai contoh dan pengiriman cepat,4,Positif,sesuai contoh cepat
Sudah diterima.......terimakasih ya,4,Positif,diterima terimakasih ya
Goooodddddddd... Trimakasih,5,Positif,goodd trimakasih
"Bagus, pelayanan bagus, saya puasss sekali :) Terima kasih Warung Olahraga",5,Positif,bagus pelayanan bagus puass terima kasih warung olahraga
"oke,,thx gan..............................................................",5,Positif,terima kasih gan
"Sampe&#39;a cepetttt...cm 1 hari..
Mksh ya",4,Positif,sampe cepett cm mksh ya
Barang sudah diterima. Recommended. Lebih cocok untuk yang tangannya kecil.,5,Positif,diterima recommended cocok tangannya
terima kasih.. barang bagus.. pengiriman cepat.. respon cepat..harga hemat..,4,Positif,terima kasih bagus cepat respon cepat harga hemat
Thx ya gan barangnya dah dateng.... VERRY RECOMMENDED SELLER .... GBU sukses,5,Positif,terima kasih ya gan barangnya dah dateng verry recommended gbu sukses
Top....trimaksih sampai kilat sekali,5,Positif,top trimaksih kilat
"MANTAP JAYA,BERFUNGSI DENGAN BAIK.SUKSES SELALU :)",5,Positif,bagus jaya berfungsi sukses
Respon dan pengiriman cepat..mantap..,5,Positif,respon cepat bagus
Terima kasih brg ini ak terima dgn baik,5,Positif,terima kasih ak terima
"barang ok punya, suara dan basnya mantep!",5,Positif,suara basnya mantep
"Apa yang bisa diharapkan dari perangkat Wifi AC murah di hari-hari sekarang ini? 

Sedikit di atas ekspektasi saya karena kemampuannya untuk dijadikan perangkat AP berteknologi 802.11AC sudah lebih dari cukup, kendalanya hanya pada jumlah &#34;concurrent user&#34; yang tidak lebih dari 20 serta pembatasan pemilihan kanal (channel) untuk frekuensi 5ghz",4,Positif,diharapkan perangkat wifi ac murah ekspektasi kemampuannya dijadikan perangkat ap berteknologi ac kendalanya concurrent user pembatasan pemilihan kanal channel frekuensi ghz
barang sesuai dengan pesanan,5,Positif,sesuai pesanan
cakeup pisann... bagus 😊,5,Positif,cakeup pisann bagus
PAS Mantaaaaaaaappppp... TOP BGT.. Barang Berkualitas... Intinya Puaaaaaaassss... Thanks Kerjasamanya gan 😉,4,Positif,pas mantaapp top banget berkualitas intinya puaass terima kasih kerjasamanya gan
"Response nya cepat tapi pengiriman nya benar benar lambat, padahal saya beli barang lain di Hari yang sama Dan kurir yang sama. Tapi terobati dengan Alat berfungsi dengan baik. Trims ya Gan 🙏",4,Positif,response nya cepat nya lambat terobati alat berfungsi trims ya gan
Terimakasih barang sudah diterima dg baik..,5,Positif,terimakasih diterima dg
cepet sampenya. barang ok. makasi,5,Positif,cepat sampenya makasi
"bahannya bagus, lembut, warnanya bikin gemmes, dan dapet bonus loh 1 hehe, terima kasih yaaa tamagoo 😍",5,Positif,bahannya bagus lembut warnanya bikin gemmes dapet bonus loh hehe terima kasih yaa tamagoo
"ini serius jualan, gak abal2.........lanjutkan",5,Positif,serius jualan abal lanjutkan
"Alhamdulillah semuanya nyala,",4,Positif,alhamdulillah nyala
terimakasih paket sudah diterima dangan baik,5,Positif,terimakasih diterima dangan
Bisa ubah ke inggris caranya.tekan dan tahan sampai suara bahasa cina muncul yg kedua lepaskan lalu tekan dgn agak cpt 2kali nnti muncul english mode.. sygny putih bkn item,5,Positif,ubah inggris tekan tahan suara bahasa cina muncul lepaskan tekan cepat kali nnti muncul english mode sygny putih bkn item
okkkkkkkkkkkkkkkkkkkkkkkkkkkkk,4,Positif,okk
Topppppppppppp mantaapppppppppppp,5,Positif,topp mantaapp
"Semoga bermanfaat, terima kasih.",4,Positif,semoga bermanfaat terima kasih
Recomennded and top rated seller..,5,Positif,recomennded and top rated
"warnanya tidak seperti yang di foto,yang dikirim hitamnya sudah piyas/buram .....",4,Positif,warnanya foto dikirim hitamnya piyas buram
Bagus pengiriman cepat,4,Positif,bagus cepat
pokony siiiiip daaaaah. tidak di ragukan lagi,5,Positif,pokony siip daah ragukan
"Bintang 4 dulu krn blm dicoba.. pesan senin pagi, selasa sore sdh sampe di lombok.. thanks",4,Positif,bintang blm dicoba senin pagi selasa sore sampe lombok terima kasih
Cepat prosesnya dan sesuai gambar,5,Positif,cepat prosesnya sesuai gambar
Bagus bagus bagusksksnsnjsjjsksmmsms,5,Positif,bagus bagus bagusksksnsnjsjjsksmmsms
makasih bos...barangx udah sampe..tinggal nyemplung ke pulau sambori..hehehe..,4,Positif,terima kasih bos barangx sampe tinggal nyemplung pulau sambori hehehe
"Produk bagus, packing bagus, ketepatan barang bagus, dan pengiriman cepat, recommend!",5,Positif,bagus kemasan bagus ketepatan bagus cepat recommend
Respon cepat dan sangat baik,5,Positif,respon cepat
Layanan cepat. Barangnya bagus sesuai pesanan,5,Positif,layanan cepat barangnya bagus sesuai pesanan
Kualitas sesuai harga lah,5,Positif,kualitas sesuai harga
Barang sudah sampai barang sesuai iklan...belum di coba moga gak ada masalah...trimssd,4,Positif,sesuai iklan coba moga trimssd
Produk sesuai deskripsi dan dikirim dg cepat dan packing yg rapi,5,Positif,sesuai deskripsi dikirim dg cepat kemasan rapi
Kabel ok sesuai gambar...........,5,Positif,kabel sesuai gambar
kualitas bagus..tapi belum sempat dicoba..moga2 awet..,5,Positif,kualitas bagus dicoba moga awet
Bagos pisan.......................,5,Positif,bagos pisan
"Barang sesuai keterangan, pengiriman cepat. Terima kasih.",5,Positif,sesuai keterangan cepat terima kasih
Produknya sesuai gambar tidak lecet sedikitpun.,5,Positif,produknya sesuai gambar lecet sedikitpun
barang sesuai pesanan dan di terima dengan baik tq,4,Positif,sesuai pesanan terima tq
Sudah diterima dg baik hanya saja ukurannya ngepas bgt bukan 6”,4,Positif,diterima dg ukurannya ngepas banget
Good job.  Recommended seller.  Thx,5,Positif,good job recommended terima kasih
"Berfungsi dengan baik, harga murah tapi kwalitas tidak murahan. yg jual reaksi cepat. Trims Warung Olahraga. . .",5,Positif,berfungsi harga murah kwalitas murahan jual reaksi cepat trims warung olahraga
kren gaaan ane puas bgt dngan apa yg ane pesan d toko ente moga lacar ja deh usahanya cap cuz,5,Positif,kren gaan ane puas banget dngan ane ente moga lacar ja deh usahanya cap cuz
Terimakasih brg sdh ketrima....jamnya ternyata kecil....tp gpp lah ada discountnya jg...jd brg sesuai harga.,4,Positif,terimakasih ketrima jamnya gpp discountnya jg jd sesuai harga
"Catridge original sesuai pesanan,, pengiriman cepat dan packingan rapi,,",5,Positif,catridge asli sesuai pesanan cepat packingan rapi
Bagus oke mantap sekali,5,Positif,bagus bagus
"sudah mendarat sesuai request boss
thankx yahhh",5,Positif,mendarat sesuai request boss thankx yahh
pengiriman cepat.......,4,Positif,cepat
Barang sesuai. Mantap pokoknya.,5,Positif,sesuai bagus pokoknya
"Produk cepat sampai, packaging nya memuaskan",5,Positif,cepat packaging nya memuaskan
sesuai harga..... tidak mengecewakan,5,Positif,sesuai harga mengecewakan
Mantapp barang sudah diterima dengan baik dan cepat sampai,5,Positif,mantapp diterima cepat
"Barang sesuai pesanan, bagusss",5,Positif,sesuai pesanan baguss
Dengan harga segini cukup lumayan.. semua berjalan normal. Mantap,5,Positif,harga segini lumayan berjalan normal bagus
"Pengiriman cepat, packing rapi, sip",4,Positif,cepat kemasan rapi bagus
mantabssssssssssssss......................................................,5,Positif,mantabss
barang sesuai gambar dan cepat sampai,5,Positif,sesuai gambar cepat
"Barang sesuai deskripsi pengiriman tidak sampai sehari sampai untuk surabaya area, semoga lancar lapaknya",5,Positif,sesuai deskripsi sehari surabaya area semoga lancar lapaknya
barang sudah sampai....... thanks,5,Positif,terima kasih
Barang telah diterima dan berfungsi dengan baik.thanks,5,Positif,diterima berfungsi terima kasih
Topppppppppppppppppppp,5,Positif,topp
"pesanan cepat sampainya, terimakasih",4,Positif,pesanan cepat sampainya terimakasih
..................thanks sis.......................,5,Positif,terima kasih sis
Recomended product..............,5,Positif,rekomendasi product
Jam nya sudah sampai dengan baik. Packing juga baik,4,Positif,jam nya kemasan
"Brg udh sampe,, kwalitet ruar biasa,, tem ksh",5,Positif,udh sampe kwalitet ruar tem ksh
Sesuai etalase dan pengiriman cepat.,5,Positif,sesuai etalase cepat
"Barang sudah tiba, barangnya bagus pnp. thank you",5,Positif,barangnya bagus pnp thank you
Mantaps ... sesuai harapan ... fast responnya ... makasih ya Gan ...,5,Positif,mantaps sesuai harapan fast responnya terima kasih ya gan
Barang sesuai pesanan dan sampai dengan selamat,5,Positif,sesuai pesanan selamat
"really fast response... barang ori... 
muantaaaph & recommended seller nih... 

thanks ya & semoga semakin sukses...",5,Positif,really fast response asli muantaaph recommended nih terima kasih ya semoga sukses
oky gan barang  dah mendarat dengan selamat,5,Positif,oky gan dah mendarat selamat
"respon cepat, barang mantap, cepat sampai",5,Positif,respon cepat bagus cepat
Bagus........sesuai foto n orderan,5,Positif,bagus sesuai foto orderan
Nilai untuk uang. Setelah menggunakan selama beberapa hari,5,Positif,nilai uang
"Proses cepat, barang belum sy pakai",5,Positif,proses cepat pakai
"barang sudah sampai, terima kasih",5,Positif,terima kasih
Top bangett!! slow respon dan barangnya bagusss.. dan cepat juga. sukses selalu,5,Positif,top bangett slow respon barangnya baguss cepat sukses
Prepect... 😊😊😊😊😊,5,Positif,prepect
"Sesuai deskripsi, respon sangat cepat!!!",5,Positif,sesuai deskripsi respon cepat
Barang packing sesuai dan mantap,5,Positif,kemasan sesuai bagus
Mantab semoga awet .....,5,Positif,mantab semoga awet
Goooooooooooooooood!!!!!!,5,Positif,good
"Terima kasih, barang sudah sampai dan berfungsi dengan baik",5,Positif,terima kasih berfungsi
"Baarang oke, pengo roman cepat",5,Positif,baarang pengo roman cepat
"Layanan supercepat,nilai 10 utk toko penjual.",4,Positif,layanan supercepat nilai penjual
"Barang bagus,pengiriman sehari sampai good seller",5,Positif,bagus sehari good
"Maaf baru kasih ulasan..
Barang mantap semua,order jam 11 siang dan jam 2 siang sampe..puas",4,Positif,maaf kasih ulasan bagus jam siang jam siang sampe puas
Adminnya sabarrrr.... Rekomen seller,5,Positif,adminnya sabarr rekomen
"Bagus, enak di pakai. Pas dpt harga murah",5,Positif,bagus enak pakai pas harga murah
"Barang berfungsi dgn baik, dgn harga miring",5,Positif,berfungsi harga miring
"barang sudah diterima dengan baik, tp blm dicoba, semoga lancar&#34; semuanya",4,Positif,diterima blm dicoba semoga lancar
"barang sesuai, terimakasih sudah di bantu sebelumnya",5,Positif,sesuai terimakasih bantu
Sudah diterima dg cepat dan selamat. Dan langsung dicoba...hasilnya berfungsi dg baik. Makasih gan,5,Positif,diterima dg cepat selamat langsung dicoba hasilnya berfungsi dg terima kasih gan
Sangat berguna untuk yg suka colok berbagai barang menggunakan USB,5,Positif,berguna suka colok usb
"Packaging rapi, produk bagus",5,Positif,packaging rapi bagus
"Produk sudah diterima dgn kondisi yg baik, proses cepat. Kualitas sepatu mantap, kokoh, dengan harga diskon sangat reccomended.",5,Positif,diterima kondisi proses cepat kualitas sepatu bagus kokoh harga diskon reccomended
barang sudah diterima dengan baik.terima kasih,5,Positif,diterima terima kasih
makasih yaa paketnya da sampe dalam kondisi baik,5,Positif,terima kasih yaa paketnya da sampe kondisi
Barang  berfungsi  dengan baik..ada jaminan  garansi 1tahun,5,Positif,berfungsi jaminan garansi
"Barang sesuai pesanan, tidak ada yg lecet atau rusak, packing rapi, jam terlihat mewah, mantap terima kasih",5,Positif,sesuai pesanan lecet rusak kemasan rapi jam mewah bagus terima kasih
"Sangat memuaskan, pengiriman cepat, chat dibalas cepat, barang sesuai pesanan, thx",4,Positif,memuaskan cepat chat dibalas cepat sesuai pesanan terima kasih
"mantap orderanya, paking rapi seller ramah dan fasto response",5,Positif,bagus orderanya paking rapi ramah fasto response
"Barang sudah diterima sesuai pesanan, barang bagus, sudah dicoba dan nyaman dipakai. Terima kasih.",5,Positif,diterima sesuai pesanan bagus dicoba nyaman dipakai terima kasih
Biarkan bintang berbicara,5,Positif,biarkan bintang berbicara
Sudah sampai dengan selamat tapi agak ringan betnya,4,Positif,selamat ringan betnya
Sesuai pesanan. Terimakasih.,5,Positif,sesuai pesanan terimakasih
Barang bagus dan dalam kondisi baik. Respon penjual juga baik. Terima kasih,5,Positif,bagus kondisi respon penjual terima kasih
"Seller, pengirim J&amp;T dan tokopedia luar biasa.... jadi Semakin setia jadi TOPPER....",5,Positif,pengirim amp setia topper
"Barang sesuai pesanan, bagus",4,Positif,sesuai pesanan bagus
Barang sesuai dengan pesanan.. dan cepat nyampe nya,5,Positif,sesuai pesanan cepat nyampe nya
"Barangnya bgs, smoga awet dan tahan lama",5,Positif,barangnya bgs smoga awet tahan
"Keren gann, barang sesuai gambar cepet sampai lg, puas deh pokok nya",5,Positif,keren gann sesuai gambar cepat lg puas deh pokok nya
bajux saunax mantap terimakasih mba,5,Positif,bajux saunax bagus terimakasih mba
"Bolanya Enak di pakai ... dan respon penjual bagus serta barang cepat di kirim. Ini juga pembelian saya yg ke dua, 4 bola.",5,Positif,bolanya enak pakai respon penjual bagus cepat pembelian bola
Packing rapih...cepat sampai juga...#Recomended seller#Thanks Gan.....,5,Positif,kemasan rapih cepat rekomendasi terima kasih gan
respon cepat.. saya suka saya suka..,5,Positif,respon cepat suka suka
baguus sesuai gambar,5,Positif,baguus sesuai gambar
"Barang sesuai tampilan dan cepat tiba, terima kasih",4,Positif,sesuai tampilan cepat terima kasih
"Mantap barang sampai dengan mulus, tapi sayangnya produk yg 1 lagi tombolnya ketika di pencet malah jadi mati smua",4,Positif,bagus mulus sayangnya tombolnya pencet mati smua
"Barang sesuai, packing oke",5,Positif,sesuai kemasan
maaf gan baru di konfirmasi..barang sudah di terima 3 hari setelh pengiriman..kwalitas barang ok punya.,4,Positif,maaf gan konfirmasi terima setelh kwalitas
"Mantap... Seller respon cepat, barang oke... Thx a lot seller and tokopedia",5,Positif,bagus respon cepat terima kasih lot and
Tengkyu... Barang bagussss,5,Positif,tengkyu baguss
Barng biasa ga terlalu bgs sesui dg harga,4,Positif,barng bgs sesui dg harga
barang sudah diterima........TQ......,5,Positif,diterima tq
barang sangat bagus dan berguna sekali,5,Positif,bagus berguna
"Paket sudah diterima, packing rapih tks.",5,Positif,diterima kemasan rapih tks
Biarlah bintang yg berbicara..,5,Positif,biarlah bintang berbicara
mantap sekali barangnya sesuai deskripsi,5,Positif,bagus barangnya sesuai deskripsi
"Barang sesuai deskripsi, respon cepat, pengiriman cepat.",5,Positif,sesuai deskripsi respon cepat cepat
"thank's.....................,,,,,,,,,,:-)",5,Positif,thank
"Respon sangat baik dan barang sesuai deskripsi, terima kasih",5,Positif,respon sesuai deskripsi terima kasih
Barang berfungsi dengan baik. Dan bentuknya yg mini sangat praktis. Trims,5,Positif,berfungsi bentuknya mini praktis trims
"Barang 
Ok lah. Thanks",5,Positif,terima kasih
"Maaf ulasan saya update, setelah kemasan saya buka, carteridge filter arangnya pada lepas semua, isi berhamburan, menyesal saya memilih barang murah, maaf kalau saya menulis apa adanya. Rating bintang lima terlanjur dan tidak bisa dirubah",5,Positif,maaf ulasan update kemasan buka carteridge filter arangnya lepas isi berhamburan menyesal memilih murah maaf menulis rating bintang terlanjur dirubah
Alhamdulillah barang telah sampai dengan baik,5,Positif,alhamdulillah
Barang bagus..seller respon sgt baik,5,Positif,bagus respon sgt
Produk sesuai pesanan dan respon yang cepat,5,Positif,sesuai pesanan respon cepat
"Paketnya sudah di terima dgn baik,terima kasih",5,Positif,paketnya terima terima kasih
Produk sesuai deskripsi,4,Positif,sesuai deskripsi
"Terima kasih barang cepat sampai dg packing rapi. Kualitas battery bagus saat dicoba kapasitas 43% dg life time 2:30. Mudah""an setelah charge 100% lifetimenya bisa 4 jam lebih.",5,Positif,terima kasih cepat dg kemasan rapi kualitas battery bagus dicoba kapasitas dg life time mudah an charge lifetimenya jam
it works [LINK] works fine,4,Positif,it works link works fine
"Bahnnya bagus, terlihat kuat dan mudah  dipakai",5,Positif,bahnnya bagus kuat mudah dipakai
barang sampai dengan selamat dan sesuai dengan gambar + penjelasan,5,Positif,selamat sesuai gambar penjelasan
mantab....... tajem.....,5,Positif,mantab tajem
"Thanks gan barang sudah smpai, review sedikit di komen gambar",4,Positif,terima kasih gan smpai review komen gambar
"pengiriman cepat,thank&#39;s gan",5,Positif,cepat thank gan
Trima ksh brg sdh sy trima ....,5,Positif,trima ksh trima
sesuai dengan gambar,5,Positif,sesuai gambar
produk bagus. mantap. sukses terus,5,Positif,bagus bagus sukses
Service Bagus & Kualitas Bagus,5,Positif,service bagus kualitas bagus
"pengiriman cepat, produknya ada bagian yang tidak rapi",4,Positif,cepat produknya rapi
"Barang sesuai pesanan, respon cepat, mantap bos.",5,Positif,sesuai pesanan respon cepat bagus bos
"barang sdh diterima semua dlm kondisi Ok, terima kasih",5,Positif,diterima dlm kondisi terima kasih
"Bagussss,.....................",5,Positif,baguss
"Barang sudah diterima, harga murah, kualitas oke, fitur banyak",5,Positif,diterima harga murah kualitas fitur
"Produk berfungsi sesuai ekspektasi, packaging baik dan tiba dengan cepat. Thank you!",5,Positif,berfungsi sesuai ekspektasi packaging cepat thank you
Fast respom dan bagus barangnya. Cuman sedikit longgar dan ga dapet kabel powernya,4,Positif,fast respom bagus barangnya cuman longgar dapet kabel powernya
"Respon dan proses cepat, barang sesuai permintaan, terima kasih",5,Positif,respon proses cepat sesuai permintaan terima kasih
produk sesuai deskripsi,4,Positif,sesuai deskripsi
